decision,criterion,weight,option,score,evidence
language-framework,fits core workflow (FR-MAP-01 FR-DRAFT-02 FR-SAVE-09 FR-LOAD-10 FR-VIEW-11),0.30,vanilla-js-localstorage,5,"browser APIs cover map draft save load overview with no server"
language-framework,fits core workflow (FR-MAP-01 FR-DRAFT-02 FR-SAVE-09 FR-LOAD-10 FR-VIEW-11),0.30,react,4,"same UI possible; adds build step and component model not required by FRs"
language-framework,fits core workflow (FR-MAP-01 FR-DRAFT-02 FR-SAVE-09 FR-LOAD-10 FR-VIEW-11),0.30,python-flask,3,"needs a running server for every session; overkill for single-user local drafts"
language-framework,novelty load within charter (max 1 major new tech),0.25,vanilla-js-localstorage,5,"uses JS already listed as learnable; no framework to learn"
language-framework,novelty load within charter (max 1 major new tech),0.25,react,2,"React is a second major new technology on top of JS"
language-framework,novelty load within charter (max 1 major new tech),0.25,python-flask,1,"Python web stack plus templates is outside the stated learning budget"
language-framework,cost and hosting at student scale (CON-02 NFR-MNT-01),0.20,vanilla-js-localstorage,5,"static files; $0; README can be a single open-in-browser step"
language-framework,cost and hosting at student scale (CON-02 NFR-MNT-01),0.20,react,3,"needs a build toolchain; still hostable as static after build"
language-framework,cost and hosting at student scale (CON-02 NFR-MNT-01),0.20,python-flask,2,"requires a process host; free tiers exist but add operational steps"
language-framework,I can ship and maintain alone (FR-DOC-19 NFR-MNT-01),0.15,vanilla-js-localstorage,5,"no node_modules or virtualenv required for a maintainer to run"
language-framework,I can ship and maintain alone (FR-DOC-19 NFR-MNT-01),0.15,react,3,"maintainer must know npm and a build command"
language-framework,I can ship and maintain alone (FR-DOC-19 NFR-MNT-01),0.15,python-flask,2,"maintainer must install Python deps and start a server"
language-framework,meets performance NFRs on 8 GB laptop (NFR-PERF-01 NFR-PERF-02 CON-03),0.10,vanilla-js-localstorage,5,"no framework overhead; localStorage writes are sub-second for 20 sections"
language-framework,meets performance NFRs on 8 GB laptop (NFR-PERF-01 NFR-PERF-02 CON-03),0.10,react,4,"fine at this scale; cold load slightly higher than plain JS"
language-framework,meets performance NFRs on 8 GB laptop (NFR-PERF-01 NFR-PERF-02 CON-03),0.10,python-flask,3,"network round-trip for every save; depends on host latency"
data-store,persists drafts across sessions (FR-SAVE-09 FR-LOAD-10 NFR-REL-02),0.30,localStorage,5,"survives close/reopen in the same browser; matches single-user scope"
data-store,persists drafts across sessions (FR-SAVE-09 FR-LOAD-10 NFR-REL-02),0.30,indexeddb,5,"same persistence guarantee with higher size limits"
data-store,persists drafts across sessions (FR-SAVE-09 FR-LOAD-10 NFR-REL-02),0.30,sqlite-via-sqljs,4,"works but adds a WASM binary and async API for no extra FR need"
data-store,fits single-user no-login scope (out-of-scope login),0.25,localStorage,5,"no server identity; data stays on the device"
data-store,fits single-user no-login scope (out-of-scope login),0.25,indexeddb,5,"same local-only model"
data-store,fits single-user no-login scope (out-of-scope login),0.25,sqlite-via-sqljs,4,"still local; extra complexity for a multi-table model we do not need"
data-store,cost and operational burden (CON-02 NFR-MNT-01),0.20,localStorage,5,"zero services zero cost; copy is a browser clear or export"
data-store,cost and operational burden (CON-02 NFR-MNT-01),0.20,indexeddb,5,"zero services zero cost"
data-store,cost and operational burden (CON-02 NFR-MNT-01),0.20,sqlite-via-sqljs,3,"ships a ~1 MB WASM payload; still $0 but more to document"
data-store,backup and user delete path (NFR-PRIV-01),0.15,localStorage,4,"user can clear site data; export JSON is a small extra feature"
data-store,backup and user delete path (NFR-PRIV-01),0.15,indexeddb,4,"same clear-site-data path; export needs a few more lines"
data-store,backup and user delete path (NFR-PRIV-01),0.15,sqlite-via-sqljs,5,"single file download is a natural backup"
data-store,meets save latency NFR-PERF-02,0.10,localStorage,5,"synchronous write of a few KB is well under 1 s"
data-store,meets save latency NFR-PERF-02,0.10,indexeddb,4,"async; still under 1 s for 20 sections in practice"
data-store,meets save latency NFR-PERF-02,0.10,sqlite-via-sqljs,3,"WASM init and async API add measurable overhead on cold start"
hosting,cost at student scale through Week 16 (CON-02),0.35,github-pages,5,"free for public repos; no card required"
hosting,cost at student scale through Week 16 (CON-02),0.35,local-only,5,"$0; no external host"
hosting,cost at student scale through Week 16 (CON-02),0.35,cloudflare-pages-free,5,"free tier; no card required for basic static"
hosting,deploy from git push (NFR-MNT-01),0.25,github-pages,5,"push to gh-pages or Actions publishes"
hosting,deploy from git push (NFR-MNT-01),0.25,local-only,2,"no remote deploy; demo is open the HTML file"
hosting,deploy from git push (NFR-MNT-01),0.25,cloudflare-pages-free,5,"git integration is the product"
hosting,persistent storage for drafts (FR-SAVE-09 NFR-REL-02),0.20,github-pages,3,"static host; persistence is client-side localStorage not server disk"
hosting,persistent storage for drafts (FR-SAVE-09 NFR-REL-02),0.20,local-only,5,"same machine; localStorage is the store"
hosting,persistent storage for drafts (FR-SAVE-09 NFR-REL-02),0.20,cloudflare-pages-free,3,"static host; same client-side model as GitHub Pages"
hosting,I have used it or can learn in budget,0.10,github-pages,4,"used for class pages before"
hosting,I have used it or can learn in budget,0.10,local-only,5,"already works on the Windows laptop"
hosting,I have used it or can learn in budget,0.10,cloudflare-pages-free,3,"new account and dashboard; under 2 h to learn"
hosting,meets portability NFR-PORT-01,0.10,github-pages,5,"served over HTTPS to current Chrome and Firefox"
hosting,meets portability NFR-PORT-01,0.10,local-only,4,"file:// or localhost works; some browser APIs differ on file://"
hosting,meets portability NFR-PORT-01,0.10,cloudflare-pages-free,5,"served over HTTPS to current Chrome and Firefox"
