decision,criterion,weight,option,score,evidence
# Long format: one row per (decision, option, criterion). Scores are 0-5.
# Weights within a decision must sum to 1.00. Every row needs evidence.
# Worked example: PantryPilot. Replace every row with your own project.
data-store,fits the data model (FR-007 FR-011),0.30,PostgreSQL,5,"both queries are one join; planner does the work"
data-store,fits the data model (FR-007 FR-011),0.30,SQLite,4,"same SQL; single-writer limit is the risk not the model"
data-store,fits the data model (FR-007 FR-011),0.30,MongoDB,2,"FR-011 becomes a hand-written join in app code"
data-store,I have shipped with it before,0.20,PostgreSQL,3,"used in DB course; never deployed one"
data-store,I have shipped with it before,0.20,SQLite,5,"used in two prior courses including a deployed tool"
data-store,I have shipped with it before,0.20,MongoDB,0,"never used it"
data-store,hosting and cost at student scale,0.25,PostgreSQL,3,"managed tiers exist; terms vary - checked vendor page 2026-02-09"
data-store,hosting and cost at student scale,0.25,SQLite,5,"a file on the same host; no separate service"
data-store,hosting and cost at student scale,0.25,MongoDB,3,"managed tiers exist; checked vendor page 2026-02-09"
data-store,backup and restore I can document (NFR-M-01),0.15,PostgreSQL,5,"pg_dump / pg_restore is two runbook lines"
data-store,backup and restore I can document (NFR-M-01),0.15,SQLite,5,"copy the file"
data-store,backup and restore I can document (NFR-M-01),0.15,MongoDB,3,"mongodump exists; I have never run a restore"
data-store,operational burden on one person,0.10,PostgreSQL,3,"one more service to run locally and in CI"
data-store,operational burden on one person,0.10,SQLite,5,"no service"
data-store,operational burden on one person,0.10,MongoDB,3,"one more service plus a driver I do not know"
hosting,cost at student scale through Week 16,0.35,managed-paas,4,"free/low tiers advertised; terms change - re-verify before Week 14"
hosting,cost at student scale through Week 16,0.35,small-vps,3,"predictable small monthly fee; no expiry surprise"
hosting,cost at student scale through Week 16,0.35,campus-vm,5,"free to me; requires a request form and staff approval"
hosting,deploy from a git push,0.25,managed-paas,5,"push-to-deploy is the product"
hosting,deploy from a git push,0.25,small-vps,3,"I would write the deploy script myself"
hosting,deploy from a git push,0.25,campus-vm,2,"no outbound CI access without a ticket"
hosting,persistent storage for the database,0.25,managed-paas,3,"add-on; idle-suspend policies vary - verify"
hosting,persistent storage for the database,0.25,small-vps,5,"a disk I control"
hosting,persistent storage for the database,0.25,campus-vm,5,"a disk the university controls"
hosting,I have shipped with it before,0.15,managed-paas,4,"deployed a class project this way"
hosting,I have shipped with it before,0.15,small-vps,2,"I have SSHed into one; never provisioned one"
hosting,I have shipped with it before,0.15,campus-vm,0,"never used it"
recipe-suggestion,meets FR-014 acceptance criteria,0.30,hosted-llm-api,5,"free-text suggestion from an item list is exactly its shape"
recipe-suggestion,meets FR-014 acceptance criteria,0.30,rules-engine-i-write,3,"covers the ranked-match half; no natural-language step"
recipe-suggestion,meets FR-014 acceptance criteria,0.30,local-small-model,4,"plausible; output quality unverified on my hardware"
recipe-suggestion,hours to a first working version,0.25,hosted-llm-api,5,"one HTTP call; ~3 h including error handling"
recipe-suggestion,hours to a first working version,0.25,rules-engine-i-write,3,"~10 h including the recipe-coverage scoring"
recipe-suggestion,hours to a first working version,0.25,local-small-model,1,"runtime setup alone is a full spike; unknown"
recipe-suggestion,ongoing cost I can carry,0.20,hosted-llm-api,3,"per-token; small at demo scale - verify current pricing"
recipe-suggestion,ongoing cost I can carry,0.20,rules-engine-i-write,5,"none"
recipe-suggestion,ongoing cost I can carry,0.20,local-small-model,4,"none in cash; costs hosting memory"
recipe-suggestion,degrades safely if it is unavailable,0.10,hosted-llm-api,3,"needs an explicit fallback path (see ADR 0005)"
recipe-suggestion,degrades safely if it is unavailable,0.10,rules-engine-i-write,5,"in-process; no network"
recipe-suggestion,degrades safely if it is unavailable,0.10,local-small-model,4,"in-process; may exceed the host memory budget"
recipe-suggestion,reversible if it does not work out,0.15,hosted-llm-api,5,"one module behind one interface"
recipe-suggestion,reversible if it does not work out,0.15,rules-engine-i-write,4,"my code; deleting it costs the hours I spent"
recipe-suggestion,reversible if it does not work out,0.15,local-small-model,3,"changes the hosting choice; couples to ADR 0003"
