req_id,type,priority,requirement,source,design_element,test_id,measurement_method,status
FR-MAP-01,functional,Must,The user shall be able to create new content maps using a supported computer during development.,Interview and personal experience,Content map / project dashboard,T-MAP-01,acceptance criteria AC-FR-MAP-01-1..2,planned
FR-DRAFT-02,functional,Must,The user shall be able to draft or edit later project sections on a checklist.,Personal experience with losing edits,Section draft editor,T-DRAFT-02,acceptance criteria AC-FR-DRAFT-02-1..2,planned
FR-PROG-03,functional,Must,The user shall be able to make project Updates for the progress section status in review. Only this user marks the section.,Interview and workflow observation,Progress / status view,T-PROG-03,acceptance criteria AC-FR-PROG-03-1..2,planned
FR-REV-04,functional,Should,The user shall be able to review feedback with revision notes or version history.,Persona and interview evidence,Revision panel,T-REV-04,acceptance criteria AC-FR-REV-04-1..2,planned
FR-ASM-05,functional,Must,The user shall be able to assemble all the final deliverable project sections for completion.,Persona and personal experience,Final assembly workflow,T-ASM-05,acceptance criteria AC-FR-ASM-05-1..2,planned
FR-NAV-06,functional,Must,The user shall be able to navigate between capstone sections using a simple sidebar or menu.,Interview with Mike 2026-09-01 + personal,Sidebar / section menu,T-NAV-06,acceptance criteria AC-FR-NAV-06-1..2,planned
FR-SEC-07,functional,Must,The user shall be able to view each section’s status (draft in-review final) at a glance.,Interview evidence about losing track of progress,Project map status display,T-SEC-07,acceptance criteria AC-FR-SEC-07-1..2,planned
FR-HIST-08,functional,Should,The user shall be able to view a simple revision history for each section.,Interview + personal experience,History panel,T-HIST-08,acceptance criteria AC-FR-HIST-08-1..2,planned
FR-SAVE-09,functional,Must,The users system shall auto-save section drafts every 30 seconds.,Personal experience losing drafts,Auto-save mechanism,T-SAVE-09,acceptance criteria AC-FR-SAVE-09-1..2,planned
FR-LOAD-10,functional,Must,The user shall be able to reopen any previously saved draft.,Interview evidence,Draft load on section open,T-LOAD-10,acceptance criteria AC-FR-LOAD-10-1..2,planned
FR-VIEW-11,functional,Must,The user shall be able to view a full project overview showing all sections and their statuses.,Interview + personal workflow,Project overview page,T-VIEW-11,acceptance criteria AC-FR-VIEW-11-1..2,planned
FR-CHECK-12,functional,Must,The user shall be able to follow a guided checklist for each section.,Interview evidence about redoing steps,Section checklist,T-CHECK-12,acceptance criteria AC-FR-CHECK-12-1..2,planned
FR-FLOW-13,functional,Should,The user shall be able to see which sections depend on others.,Personal experience + project map design,Flow / dependency map,T-FLOW-13,acceptance criteria AC-FR-FLOW-13-1..2,planned
FR-WARN-14,functional,Should,The system shall warn the user when a section is missing required elements.,Personal experience,Missing-element warning,T-WARN-14,acceptance criteria AC-FR-WARN-14-1..2,planned
FR-TAG-15,functional,May,The user shall be able to tag sections with custom labels (e.g. research needs review).,Personal workflow,Section tags,T-TAG-15,acceptance criteria AC-FR-TAG-15-1..2,planned
FR-SORT-16,functional,May,The user shall be able to sort sections by status or tag.,Personal workflow,Sort controls,T-SORT-16,acceptance criteria AC-FR-SORT-16-1..2,planned
FR-HELP-17,functional,May,The user shall be able to open a help panel explaining each feature.,Maintainer needs + personal experience,Help panel,T-HELP-17,acceptance criteria AC-FR-HELP-17-1..2,planned
FR-SET-18,functional,May,The user shall be able to adjust basic settings (theme autosave interval).,Personal experience,Settings panel,T-SET-18,acceptance criteria AC-FR-SET-18-1..2,planned
FR-DOC-19,functional,May,The next maintainer shall be able to access documentation describing project structure and features.,Maintainer persona,docs/ folder,T-DOC-19,acceptance criteria AC-FR-DOC-19-1..2,planned
FR-TRACE-20,functional,Must,The next maintainer shall be able to trace each requirement to its implementation.,Maintainer persona,Traceability matrix + code/docs references,T-TRACE-20,acceptance criteria AC-FR-TRACE-20-1..2,planned
FR-CONF-21,functional,Should,The system shall include a configuration file for environment-specific settings.,Maintainer persona,Config file,T-CONF-21,acceptance criteria AC-FR-CONF-21-1..2,planned
FR-TEST-22,functional,Should,The system shall include a basic test suite for core features.,Maintainer persona,Test suite,T-TEST-22,acceptance criteria AC-FR-TEST-22-1..2,planned
NFR-PERF-01,non-functional,Must,Main project overview p95 load ≤ 2 s with 20 sections cold cache on normal laptop,Ch4 performance,Overview page,T-PERF-01,"browser DevTools cold cache 10 loads record p95",planned
NFR-PERF-02,non-functional,Must,Saving a section draft completes in ≤ 1 s under normal conditions,Ch4 performance,Draft save path,T-PERF-02,"10 timed saves on same machine record times",planned
NFR-REL-01,non-functional,Must,Core workflow (create project → sections → draft → save → status → revision → assemble) produces zero unhandled errors,Ch4 reliability,Core workflow,T-REL-01,"manual end-to-end run of core workflow record any unhandled error",planned
NFR-REL-02,non-functional,Must,A saved draft remains available after closing and reopening the application,Ch4 reliability,Persistence / load,T-REL-02,"save draft close app reopen verify content present",planned
NFR-SEC-01,non-functional,Must,No passwords API keys access tokens or other secrets shall appear in any commit in the repository,Ch4 security,Repository + CI secret scan,T-SEC-01,"secret scan over full history zero findings",planned
